completed_updates,consumed_tokens,dense_validation_loss,dense_training_seconds,q64_validation_loss,q64_training_seconds,q128_validation_loss,q128_training_seconds,q256_validation_loss,q256_training_seconds
0,0,10.95423583984375,0.0,11.05128173828125,0.0,10.99344482421875,0.0,11.00213623046875,0.0
25,102400,7.586480712890625,27.04378398301924,7.461773300170899,85.98741437503486,7.513258361816407,84.93228904699208,7.493551635742188,99.43356341699109
50,204800,7.5748741149902346,54.32764641499671,7.2568096160888675,172.626334849032,7.255897140502929,169.70933612896624,7.324332809448242,199.11782565097383
75,307200,7.521923065185547,81.83625681899866,7.008898544311523,255.34748312903685,6.980571365356445,254.60419810396706,7.070853042602539,298.9062986599747
100,409600,7.405464935302734,109.59777764098544,6.907765960693359,336.7527092580567,6.878425788879395,339.55537557294883,6.940651607513428,398.6905163399788
125,512000,7.40716552734375,137.6271988189983,6.926198959350586,419.15291079905,6.881501007080078,424.09937833795993,6.920450592041016,498.55074031095864
150,614400,6.996857452392578,165.5629330370066,6.530887603759766,501.8816994270528,6.5013001441955565,508.5391078079483,6.534039115905761,598.3265199789312
175,716800,7.133022308349609,193.45875234800042,6.75060453414917,584.1110348240691,6.717135620117188,593.0680471399392,6.769335079193115,698.089609157927
200,819200,7.214347839355469,221.3554106090087,6.8488763809204105,666.5571626310557,6.812218284606933,677.7202146199343,6.852425384521484,797.9299486499149
225,921600,7.130187225341797,249.29394937500183,6.764650535583496,748.6965088010402,6.7423553466796875,762.6306396609361,6.773014640808105,897.790078877937
250,1024000,6.843830871582031,277.23052703702706,6.470158386230469,830.903951036009,6.454906463623047,847.8826933189121,6.478035163879395,997.4447774979344
